"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DNAJA4",1.52695056843479e-10,-1.08702040622646,0.062,0.241,3.96946069770308e-06
"MKI67",1.66394433664294e-10,1.18271246365844,0.202,0,4.32558969753698e-06
"BUB1B",1.66394433664294e-10,0.988627207223972,0.202,0,4.32558969753698e-06
"DST",1.81382820505347e-10,-0.553219982390205,0.523,0.764,4.71522780185699e-06
"HNRNPH1",1.90318409279264e-10,0.80297246762636,0.697,0.546,4.94751736762375e-06
"HSPA5",2.07659059036311e-10,-0.812755328167576,0.133,0.356,5.39830489870795e-06
"KHDRBS3",2.16363938775811e-10,-1.34657219537419,0.204,0.42,5.62459695241598e-06
"NIPBL",2.23107888877542e-10,-0.707959171376534,0.615,0.787,5.79991267926058e-06
"TACC3",3.36489480605598e-10,0.994895683650076,0.28,0.052,8.74738053782313e-06
"RBL1",3.70990828624279e-10,1.23277904899283,0.37,0.138,9.64427758091677e-06
"CIT",3.85924917412393e-10,1.10952205406906,0.28,0.052,1.00325041530526e-05
"IL6ST",4.09983181397873e-10,-0.720574624316475,0.318,0.563,1.06579227836191e-05
"KCTD12",4.79960183087665e-10,-0.664949550817777,0.118,0.328,1.24770449195469e-05
"TAL1",5.49618583713874e-10,-0.829559667362585,0.11,0.31,1.42878847022259e-05
"ZNF367",5.94694960353697e-10,0.836778255168761,0.191,0,1.54596901893547e-05
"FGD4",6.17209659964988e-10,-0.789163465228002,0.686,0.833,1.60449823204498e-05
"IQGAP1",6.8800829079681e-10,0.734196629267996,0.385,0.121,1.78854635275539e-05
"HERPUD1",7.6772193845679e-10,-0.844519159266054,0.144,0.356,1.99576995121227e-05
"KNTC1",7.97310763146949e-10,1.06196614953644,0.329,0.098,2.07268905987681e-05
"MT-ND4L",9.39840701867846e-10,-0.880910221647244,0.247,0.5,2.44320988857565e-05
"DIAPH2",9.68053835300541e-10,-0.639095690775674,0.783,0.874,2.51655275024729e-05
"SH2D4A",9.9149509525706e-10,-0.30350102566574,0.006,0.103,2.57749064963025e-05
"SEL1L",1.03401161188406e-09,-0.750050821642998,0.215,0.448,2.6880165862538e-05
"TCF4",1.03489172327141e-09,-0.783622449559098,0.555,0.747,2.69030452381636e-05
"NFATC2IP",1.07072309150323e-09,0.964049878697803,0.456,0.207,2.7834517486718e-05
"SKAP2",1.08491360225491e-09,-0.797672464551463,0.578,0.718,2.82034140042185e-05
"RUNX1",1.21085655245443e-09,-0.669260093930097,0.895,0.966,3.14774269376055e-05
"C17orf67",1.24722313559295e-09,-0.619007345247316,0.032,0.167,3.24228126328744e-05
"PRDM11",1.32288992030977e-09,-0.806268793438502,0.052,0.207,3.43898463683728e-05
"FANCI",1.35124992709244e-09,1.12802063526759,0.271,0.057,3.51270931046951e-05
"C1orf162",1.35346681724977e-09,-0.420439456384099,0.032,0.172,3.5184723381225e-05
"SBF2",1.41882422119935e-09,-0.631938320716992,0.667,0.845,3.68837544542984e-05
"MCUB",1.46220354142122e-09,0.795181462407124,0.381,0.132,3.8011443262786e-05
"KANSL1L",1.59763153861542e-09,-0.73616078509831,0.222,0.471,4.15320294778465e-05
"BLM",1.62188678347145e-09,0.8215065740491,0.202,0.011,4.21625688231239e-05
"TNFRSF11A",1.69447241260852e-09,0.99882204697171,0.308,0.08,4.4049504838171e-05
"NASP",1.76331107981417e-09,0.966997936283325,0.503,0.276,4.58390348308491e-05
"Z94721.1",2.06801711763928e-09,1.14788378781647,0.303,0.08,5.37601729901507e-05
"RAD54L",2.08776635340012e-09,0.751125198965946,0.181,0,5.42735741229896e-05
"ID2",2.24149992540575e-09,1.0253646447482,0.318,0.092,5.82700320608479e-05
"NCAPD3",2.38214971530485e-09,1.00145588469471,0.308,0.086,6.19263639990648e-05
"TMEM176B",2.61903341875864e-09,-0.53069741409742,0.099,0.293,6.80843927540497e-05
"GTSE1",2.67821068842238e-09,1.05997508323136,0.178,0,6.96227650562281e-05
"KIF18B",2.67821396905674e-09,1.09591688316359,0.178,0,6.96228503395991e-05
"DISC1",2.72929438916444e-09,-0.679275735058058,0.703,0.856,7.09507369407187e-05
"PNISR",2.98023275099253e-09,-0.572004170835862,0.57,0.787,7.74741305948019e-05
"STIL",3.16262987941728e-09,0.884490396704919,0.23,0.029,8.22157263453316e-05
"CPEB4",3.34437250205405e-09,-0.881403678234756,0.432,0.615,8.69403075633972e-05
"MALAT1",3.39000148029865e-09,0.334281079769795,1,1,8.81264784818437e-05
"MTRNR2L12",3.62196239175159e-09,-0.518330624505862,0.452,0.747,9.41565343359743e-05
"CLECL1",4.73784191073408e-09,-0.452087676816832,0.009,0.103,0.000123164938311443
"HIBCH",4.78260756557657e-09,-0.737186363797742,0.305,0.529,0.000124328666274729
"EVI5",4.90369006846855e-09,-0.689674434837297,0.372,0.615,0.000127476327019908
"RNF213",5.06856168944062e-09,0.817957514721883,0.729,0.534,0.000131762329678698
"MED15",5.25746097234196e-09,0.769131272937359,0.482,0.241,0.000136672955437002
"PIK3CD",5.49930583439611e-09,0.930548421045329,0.637,0.454,0.000142959954470961
"KIAA1841",5.55908343207851e-09,0.792440192865262,0.267,0.057,0.000144513932900313
"TOP2A",5.63032706209277e-09,1.02746827305814,0.172,0,0.000146365982306164
"RIPK2",5.71604036634011e-09,-0.765244427743634,0.075,0.241,0.000148594185363377
"ZC3HAV1",5.84349680236771e-09,-0.968082469855343,0.37,0.603,0.000151907542874351
"PIK3AP1",6.18805814764433e-09,-0.703911466201721,0.632,0.799,0.000160864759606162
"ITGAL",6.53931737824251e-09,0.852890546278136,0.555,0.351,0.000169996094564792
