"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MFSD11",0.168536235908005,0.267013149664949,0.482,0.479,1
"DNAJA4",0.174071849521919,0.28854122977533,0.266,0.253,1
"SPNS2",0.1760066722075,0.298940714157325,0.26,0.247,1
"CRK",0.18222831379665,0.270983434412543,0.458,0.461,1
"NPAS3",0.182839217453698,-0.310446554391183,0.524,0.549,1
"SERGEF",0.184944828030113,0.252828924296382,0.593,0.63,1
"PIP4K2A",0.222820938505538,0.276133088044056,0.392,0.399,1
"PHC2",0.223968440548503,0.307638475915236,0.518,0.535,1
"ELOVL5",0.225227744167684,0.289701825040371,0.344,0.346,1
"KLHL18",0.226643420935809,0.286131627943147,0.356,0.352,1
"PCBP3",0.22800883227481,0.512935371922357,0.443,0.447,1
"CREM",0.228503393296107,0.285816449088574,0.344,0.335,1
"ATL2",0.228522562647417,0.26305787435593,0.485,0.518,1
"ADCY8",0.22852458172712,0.281140548065449,0.353,0.348,1
"USP13",0.233941839150464,0.263290577940632,0.332,0.323,1
"ARHGAP18",0.23704704055124,0.313837390296845,0.311,0.304,1
"AC008105.3",0.243704426511277,0.264628608028879,0.287,0.337,1
"TRA2B",0.243910780204798,0.340343154286713,0.422,0.446,1
"TMEM192",0.244158020919894,0.36197380452088,0.395,0.416,1
"GYS1",0.258697253941052,0.259268609506206,0.449,0.467,1
"MAML3",0.264204964210282,0.296675113199542,0.386,0.36,1
"DAZAP1",0.269289134236472,0.269510852564898,0.341,0.35,1
"ACTN2",0.272795871834705,0.261670398969947,0.266,0.331,1
"FP236383.1",0.278450613643459,0.428862149947059,0.488,0.642,1
"SCARB1",0.280795511553651,0.262495555776391,0.38,0.385,1
"HSPD1",0.281398434885345,0.355787588844959,0.35,0.35,1
"PRKCA",0.284786832252186,0.28758465733811,0.629,0.661,1
"CLU",0.290848888903143,0.265220708640516,0.359,0.35,1
"SAE1",0.302580868900907,0.257509851191906,0.386,0.397,1
"TEAD1",0.320222084858381,0.429709124516251,0.542,0.576,1
"AP4S1",0.321380746982927,0.260444704738828,0.392,0.399,1
"COL23A1",0.352082556483824,0.252012678541458,0.308,0.304,1
"MECP2",0.366332352269882,0.250895123359821,0.479,0.514,1
"ACO2",0.377627491372438,0.26039160925011,0.44,0.463,1
"TMEM184B",0.382136709110641,0.259547246481839,0.446,0.459,1
"PLCG2",0.392814051576827,1.71539373894451,0.365,0.496,1
"PDK3",0.40546922106148,0.308019758269282,0.431,0.471,1
"ADARB2",0.412196473641354,0.303373806270577,0.135,0.161,1
"FP671120.1",0.413378786551778,0.287948354065828,0.566,0.677,1
"PCNT",0.41793674441355,0.288523948014785,0.647,0.7,1
"DSCAML1",0.433657895386561,0.250591616482011,0.596,0.652,1
"NRGN",0.447005306968751,0.306334805069172,0.464,0.558,1
"GPT2",0.44753163033894,0.295196871276001,0.302,0.311,1
"ATP13A3",0.451876278790539,0.314039271426966,0.455,0.488,1
"IQGAP1",0.461478324054217,0.285823771891811,0.416,0.436,1
"ATP1B3",0.462763913227793,0.280675451851606,0.482,0.523,1
"SNED1",0.482832491317764,0.280378632839502,0.425,0.535,1
"PTPRM",0.485805161024849,0.298076940717613,0.371,0.374,1
"ITPK1",0.529566664787473,0.270679041374108,0.533,0.603,1
"SCHLAP1",0.56251416898465,0.348153362890145,0.269,0.325,1
"DNHD1",0.613358865294253,0.283331300426653,0.29,0.298,1
"TRPS1",0.61679482955409,0.455121956406003,0.503,0.57,1
"FSTL4",0.637596465635874,0.283734426689759,0.671,0.72,1
"MARCH4",0.65199752264009,0.329749382358175,0.443,0.481,1
"AL117329.1",0.666066503645895,0.561152664226132,0.362,0.393,1
"HTR2C",0.671885897495446,-0.44496986761077,0.147,0.132,1
"EIF2AK3",0.703986772015434,0.251523345196918,0.371,0.401,1
"ZNF804A",0.736530178980727,0.255210816820921,0.59,0.625,1
"GALNTL6",0.740208054076778,0.391196421492545,0.491,0.508,1
"NHS",0.780296542676722,0.299049888009345,0.368,0.424,1
"PRKCG",0.790034145408313,0.279727064554403,0.329,0.387,1
"NPTXR",0.79326093248895,0.261872568723842,0.479,0.535,1
"MB21D2",0.805015663912955,0.264648246680772,0.38,0.418,1
"ITGB1",0.806063243957936,0.26082405487394,0.305,0.337,1
"FAM184B",0.875075596090858,0.380478891443593,0.231,0.241,1
"CCNYL1",0.87950253397931,0.258809670866596,0.329,0.368,1
"FLT3",0.977616253601166,0.625315770080714,0.144,0.152,1
"ELMO1",0.9879887834023,0.251645335579136,0.698,0.767,1
