"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPP1R21",1.06396858076495e-14,-0.380224280256898,0.456,0.653,2.76589272255657e-10
"ACTN2",1.14043172848193e-14,0.847470920888304,0.201,0.081,2.96466632136162e-10
"DNHD1",1.26914259911981e-14,-0.266007261770091,0.125,0.263,3.29926310067185e-10
"LINC00511",1.45446863167777e-14,0.754738602625715,0.151,0.046,3.78103665490952e-10
"AC104151.1",1.60475502846343e-14,0.728287786386378,0.268,0.14,4.17172117199352e-10
"ATP6AP1L",1.66133178366847e-14,-0.264680319747134,0.073,0.181,4.31879810482455e-10
"CHKA",1.87435092846751e-14,-0.355502726593601,0.485,0.669,4.87256267364413e-10
"LURAP1L",1.89834802930711e-14,0.56553113987982,0.191,0.071,4.93494553698676e-10
"LPAR1",1.90146520997774e-14,0.478759519665794,0.825,0.821,4.94304895985813e-10
"NIPAL3",1.93077193144425e-14,-0.277931193459985,0.221,0.394,5.01923471298247e-10
"GCLC",1.94059446483915e-14,-0.28763712243383,0.182,0.339,5.04476937079585e-10
"MUM1",2.03755412459217e-14,-0.285817292470986,0.26,0.445,5.2968257022898e-10
"DOCK4",2.13176728232848e-14,-0.294644077221591,0.874,0.933,5.54174222714113e-10
"POC1B",2.38377070021467e-14,-0.369002685947,0.141,0.279,6.19685031227807e-10
"ELAVL3",2.42051496774065e-14,-0.310267209468261,0.363,0.571,6.2923707101386e-10
"AC245297.3",2.72135126160168e-14,-0.413909032985607,0.443,0.614,7.07442473965973e-10
"IFNG-AS1",2.86343382364277e-14,-0.520090690453328,0.039,0.12,7.44378256794175e-10
"PTPRJ",3.01173649744573e-14,-0.392595674604002,0.601,0.762,7.82931019875991e-10
"SERP1",3.18624372293084e-14,-0.316031083665179,0.072,0.175,8.28295918213101e-10
"RB1CC1",3.23119141512941e-14,-0.342841078508262,0.286,0.467,8.39980520277042e-10
"ASPH",3.50323551120872e-14,-0.332371251757923,0.143,0.28,9.10701103493819e-10
"FAM196A",3.81706134318265e-14,0.554794180019115,0.101,0.016,9.92283266773762e-10
"PHF3",3.86418644472453e-14,-0.361120872169831,0.343,0.535,1.00453390817059e-09
"LCOR",4.22869646155019e-14,-0.367470498553063,0.494,0.671,1.09929193214459e-09
"RNF13",4.31653863434571e-14,-0.396770690054053,0.431,0.609,1.12212738338451e-09
"HCN2",5.08062503239139e-14,0.733259076375478,0.215,0.101,1.32075928342047e-09
"MVB12B",5.10015231894294e-14,0.614265315155476,0.645,0.61,1.32583559683241e-09
"ABHD17B",5.13777072288436e-14,-0.321810690449926,0.289,0.465,1.33561487712102e-09
"LHFPL2",5.53433014090855e-14,0.683326732188797,0.235,0.113,1.43870446343059e-09
"TMEM260",5.54944055547839e-14,-0.301371505567654,0.22,0.384,1.44263256680216e-09
"CYREN",5.68192787792996e-14,-0.326045518014402,0.083,0.192,1.47707397114667e-09
"NCOA7",6.30989661152069e-14,-0.324292919330356,0.546,0.74,1.64032072313092e-09
"ST7",6.56067249824508e-14,0.596578124432289,0.262,0.135,1.70551242264379e-09
"ATAD3C",7.77748151594104e-14,0.721211829863211,0.233,0.115,2.02183409488403e-09
"AC053527.1",8.4390848220016e-14,-0.360445833709961,0.133,0.262,2.19382449032754e-09
"FOXJ3",8.65571901396419e-14,0.62198290032852,0.457,0.369,2.25014071487013e-09
"NUFIP2",8.84572895034174e-14,-0.301726544927169,0.322,0.509,2.29953569793084e-09
