"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COG6",4.20646113686611e-40,-0.383233441514435,0.339,0.571,1.09351163713971e-35
"COLGALT2",4.91797904755883e-40,-0.305858412931121,0.248,0.473,1.27847783320339e-35
"SLC6A15",5.47489264645043e-40,-0.265199421434277,0.179,0.389,1.42325309237125e-35
"FAR2",6.90574838883051e-40,-0.437128683036475,0.439,0.656,1.79521835116038e-35
"ZC3H6",7.46220159432747e-40,-0.309417447114137,0.283,0.513,1.93987392646137e-35
"AGTPBP1",8.76016351553252e-40,-0.324255211093948,0.532,0.758,2.27729210749784e-35
"PRPF4B",9.62697748438362e-40,-0.313348167217831,0.406,0.649,2.50262906684037e-35
"BCOR",1.30030550120191e-39,0.877385207885623,0.497,0.341,3.38027418092448e-35
"EPM2A",1.40577900176391e-39,-0.340694444785914,0.204,0.409,3.65446309298546e-35
"C1GALT1",1.79541891185564e-39,-0.265170428889752,0.148,0.339,4.66737100325993e-35
"PHIP",1.81792868128229e-39,-0.453722058749422,0.534,0.769,4.72588739986145e-35
"IQCJ-SCHIP1",2.45604918572219e-39,-0.756768817859489,0.522,0.722,6.3847454632034e-35
"RAB27B",2.4704183501662e-39,-0.323890831091204,0.151,0.345,6.42209954309207e-35
"CACNA1C",2.96273692429151e-39,0.507942571506979,0.903,0.919,7.7019309083882e-35
"CAPS2",3.10959863863541e-39,-0.346097441836216,0.261,0.479,8.08371262099662e-35
"EXOC4",3.87950469899667e-39,-0.407314137683962,0.618,0.824,1.00851604155117e-34
"TOX3",4.18389118490506e-39,-0.390953886060831,0.304,0.539,1.08764435242792e-34
"TRPS1",4.5179263872577e-39,-0.449824057027917,0.28,0.5,1.17448014363151e-34
"DGKG",4.80707092391177e-39,0.829045288732877,0.53,0.389,1.2496461573801e-34
"GABRA4",5.29214813533788e-39,-0.325701801492224,0.43,0.666,1.37574682926243e-34
"BCAP29",5.50850338370183e-39,-0.26038436359517,0.199,0.408,1.43199053962713e-34
"VPS13C",5.84588992125085e-39,-0.380026432323306,0.691,0.878,1.51969754392837e-34
"MIPOL1",6.88051600693249e-39,-0.408250021189651,0.41,0.629,1.78865894116217e-34
"PTCHD4",1.02700479189871e-38,-0.611425956131807,0.456,0.663,2.66980165701988e-34
"BOD1L1",1.23118594046866e-38,-0.38574809571308,0.426,0.664,3.20059097084233e-34
"AL117190.2",1.25774860886592e-38,0.575686694259006,0.316,0.16,3.26964328360786e-34
"RAPGEF4",1.34485742544504e-38,-0.355878307694657,0.706,0.883,3.49609136318692e-34
"HIVEP2",1.351093289055e-38,-0.381623868602025,0.604,0.795,3.51230211422738e-34
"DLX1",1.49303813602182e-38,-0.321281001876464,0.139,0.332,3.88130193840232e-34
"ACADSB",1.76879849039978e-38,-0.291565560742329,0.183,0.381,4.59816855564328e-34
"KANTR",2.08603696140369e-38,-0.374670099061167,0.427,0.648,5.42286168486504e-34
"KCNN2",2.67392640470414e-38,-0.376089240603448,0.284,0.508,6.95113908166889e-34
"SPHKAP",3.11661997421339e-38,-0.677541483297731,0.168,0.358,8.10196528496512e-34
"CMIP",3.21404501455389e-38,0.655362247263186,0.76,0.729,8.35523141983428e-34
"CNTNAP3",3.63934013448818e-38,-0.479764876552484,0.189,0.381,9.46082861361548e-34
"CERS6",4.42722860570415e-38,-0.37026898439964,0.655,0.824,1.15090234833885e-33
"EHBP1",4.54374957279501e-38,-0.372837679170748,0.649,0.866,1.18119313894379e-33
"DTNA",7.12121679840609e-38,-0.501549095306292,0.725,0.835,1.85123151891365e-33
"PUS7L",1.0357681068176e-37,-0.305122303350377,0.344,0.563,2.69258277048303e-33
"AC104041.1",1.06256218347877e-37,0.636422546043067,0.219,0.07,2.76223665217141e-33
"NOVA1",1.12550948766523e-37,-0.442714885025319,0.497,0.73,2.92587446413453e-33
"TSC22D1",1.19204915807558e-37,-0.369550954061924,0.616,0.809,3.09885099133329e-33
"KMT2A",1.25986576503179e-37,-0.422864373513544,0.679,0.877,3.27514704277664e-33
"AC096711.2",1.38404036001434e-37,-0.412744381856156,0.493,0.714,3.59795131989327e-33
"KIF16B",1.41975148828981e-37,-0.301076122672414,0.359,0.591,3.69078596895818e-33
"SLITRK4",1.51048783581276e-37,-0.295053039073232,0.133,0.316,3.92666417797885e-33
"RNLS",1.77659040873988e-37,-0.387093405360862,0.231,0.44,4.6184244265602e-33
"PIK3CA",1.78212838230009e-37,-0.377716808296253,0.357,0.583,4.63282094262731e-33
"EPS15",2.37285792801878e-37,-0.265327876424459,0.244,0.465,6.16848146967763e-33
"TTC8",2.49614942320183e-37,-0.292367306798247,0.23,0.438,6.48899004055549e-33
"SLAIN1",2.50511026779131e-37,-0.305877278845673,0.41,0.646,6.51228465215029e-33
"HIP1",2.5530642069019e-37,0.967179004211231,0.43,0.278,6.63694571226217e-33
"AC104806.2",2.83018149168564e-37,-0.343431086484293,0.274,0.493,7.35733980578598e-33
"GUCY1A1",3.02485269125927e-37,-0.270653078552527,0.147,0.333,7.86340705619759e-33
"FAM13C",3.07842724303299e-37,-0.331940276181677,0.24,0.45,8.00267946098856e-33
"HACE1",3.51606274705822e-37,-0.271692712093998,0.321,0.56,9.14035671725256e-33
