"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TCAIM",3.63201742309244e-11,-0.590894626226438,0.083,0.28,9.44179249307112e-07
"INTU",3.65235795551008e-11,-0.527696636184975,0.425,0.671,9.494669741144e-07
"MYO18A",3.67451781473322e-11,-0.536684336538154,0.201,0.437,9.55227651118049e-07
"EML6",3.74964982363466e-11,-0.634592346506754,0.244,0.488,9.74758968152065e-07
"MUC20-OT1",3.97359032359688e-11,-0.498218102539682,0.476,0.717,1.03297454052224e-06
"FBXL7",3.99187863298059e-11,-0.441725178113196,0.783,0.947,1.03772876942963e-06
"BCOR",4.22691236752868e-11,1.02889208563943,0.421,0.258,1.09882813906275e-06
"CTIF",4.32103168735252e-11,-0.524824053940017,0.366,0.6,1.12329539744416e-06
"DCUN1D4",4.59273723407525e-11,-0.589308824998994,0.209,0.43,1.1939279713702e-06
"AL365273.2",4.61792801535065e-11,-0.630483862334205,0.098,0.29,1.20047656687055e-06
"ARHGEF12",4.97892816711694e-11,-0.366884973728353,0.61,0.825,1.29432216632372e-06
"S100A1",5.13989505732058e-11,0.888194586695038,0.165,0.051,1.33616711910106e-06
"KYAT1",5.33976201868561e-11,-0.535959379856883,0.142,0.358,1.38812453437751e-06
"INPP4B",5.40703265634262e-11,-0.36141511889205,0.339,0.595,1.40561220934283e-06
"LINC02060",5.92409060187519e-11,-0.514479525469783,0.055,0.241,1.54002659286347e-06
"HSPA12A",5.98006760012755e-11,-0.579498149432966,0.126,0.333,1.55457837332916e-06
"MUM1",6.25993292723429e-11,-0.548926587233002,0.224,0.446,1.62733216376383e-06
"FNDC3B",6.27069724074771e-11,0.747426448469098,0.681,0.576,1.63013045470478e-06
"TRPC1",6.34901483911047e-11,-0.58797560367822,0.193,0.408,1.65048989757516e-06
"AC027808.1",6.82368351549864e-11,-0.483384716010774,0.024,0.188,1.77388476668903e-06
"MEIS2",7.1818047654467e-11,-0.418902314131743,0.65,0.882,1.86698196682552e-06
"AHNAK",7.26339645307647e-11,-0.53447794405039,0.24,0.49,1.88819254194176e-06
"OLMALINC",7.55719617526079e-11,-0.575783653058835,0.134,0.342,1.96456871772079e-06
"SIK3",7.78624073827227e-11,0.561517877352037,0.909,0.854,2.02411114232126e-06
